97daaccc69a3aa41de6cab84cfe9f4e8,000b3754ebc6f6e67d06b0859dad767b0df675dc9b7be44149b0446df75b56ce, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014, push mov mov , call mov mov , mov test , mov add , call push 
18770b0cd8f0cd47107dac1fd186307c,000b95a4d0528ff8f68fc8dd44fdd6bccc289df8b03856ec37236c3bbd98236f, Worm, Win32, Generic, HEUR:Worm.Win32.Generic, 2013, cmp jz , cmp jnz , mov mov mov , mov add , push mov 
13de495c650304682fd7ab661f12c880,0002ba6a92d497458e82475e4f09967bde5521dc4fef71b3c8f4a8852289b684, Trojan, Win32, SuperThreat, Trojan.Win32.SuperThreat.d, 2014, push push mov , mov push , push mov push , retn mov , mov mov 
aee96010b481ffed8b8879081a8a6ce0,000c4d0f804bbe30858f10f0b1049400828873aa9a3d5293b9248f30125d1ce0, Trojan-Downloader, Script, SLoad, HEUR:Trojan-Downloader.Script.SLoad.gen, 2010, jz mov , mov push call , mov mov cmp , push push push , cmp mov 
ec9a3a1570189bbed7906cb47a23e074,00064b52f3325f1b965bc78ae33c1e3628f15d53bc824f0b5a21992d4e4752cb, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018, mov push mov , push mov , mov push , mov xor , push mov 
2601610a9d0bc62b21990f6ef753b68b,000f547ecb2a68270a6c2f900e889b32d9048f9a552edf900cab479b5af850a4, Virus, Win32, Parite, Virus.Win32.Parite.b, 2018, pop retn , mov jmp , push push mov , mov jmp , mov add 
799c7d4e6e62254f94fe5c9de51835e2,0000ac8e1de72fe915b4b978ce8801c032cd9c0681d26476a6dc9b6697a77f6b, Packed, Win32, Krap, Packed.Win32.Krap.ih, 2012, mov cmp jz , jz mov , cmp mov , mov mov mov , mov lea 
ef4b845eb04e32eaca2aa5bb54e13b10,0002d862924d1884fc1a9ccd02aa7fe37554838047c7b13323722981553fbad6, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2018, mov jmp , push mov push , retn mov , push push call , mov mov 
affebdd6fb75d34449186c4dbe3fb5a8,0001189da18f659d49a44f323d63db2c6355d06935dcfb94588f0d33239a1d03, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2013, cmp jz , call push , mov call mov , mov call mov , mov pop 
b82f8ed58104ca3a8ab56a210dc2a848,0000e854000b92f3d0b104b9884dff49118c26ea0f181bf8bceb5dc3b8e5c476, AdWare, Win32, MultiPlug, not-a-virus:AdWare.Win32.MultiPlug.ofgs, 2018, retn mov , call pop , jnz mov , push lea , push push push 
97acbab883f23e8dcc6fdc74ae35d8d7,000d118fde1f7cad77f0d27869484a00473fb7668f87ee7cc3e5690f0ed88a35, AdWare, MSIL, DomaIQ, VHO:AdWare.MSIL.DomaIQ.gen, 2013, push call , mov add , mov pop , mov jmp , push call 
