000b3754ebc6f6e67d06b0859dad767b0df675dc9b7be44149b0446df75b56ce, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014
000b95a4d0528ff8f68fc8dd44fdd6bccc289df8b03856ec37236c3bbd98236f, Worm, Win32, Generic, HEUR:Worm.Win32.Generic, 2013
0002ba6a92d497458e82475e4f09967bde5521dc4fef71b3c8f4a8852289b684, Trojan, Win32, SuperThreat, Trojan.Win32.SuperThreat.d, 2014
000c4d0f804bbe30858f10f0b1049400828873aa9a3d5293b9248f30125d1ce0, Trojan-Downloader, Script, SLoad, HEUR:Trojan-Downloader.Script.SLoad.gen, 2010
00064b52f3325f1b965bc78ae33c1e3628f15d53bc824f0b5a21992d4e4752cb, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018
000f547ecb2a68270a6c2f900e889b32d9048f9a552edf900cab479b5af850a4, Virus, Win32, Parite, Virus.Win32.Parite.b, 2018
0000ac8e1de72fe915b4b978ce8801c032cd9c0681d26476a6dc9b6697a77f6b, Packed, Win32, Krap, Packed.Win32.Krap.ih, 2012
0002d862924d1884fc1a9ccd02aa7fe37554838047c7b13323722981553fbad6, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2018
0001189da18f659d49a44f323d63db2c6355d06935dcfb94588f0d33239a1d03, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2013
0000e854000b92f3d0b104b9884dff49118c26ea0f181bf8bceb5dc3b8e5c476, AdWare, Win32, MultiPlug, not-a-virus:AdWare.Win32.MultiPlug.ofgs, 2018
000d118fde1f7cad77f0d27869484a00473fb7668f87ee7cc3e5690f0ed88a35, AdWare, MSIL, DomaIQ, VHO:AdWare.MSIL.DomaIQ.gen, 2013
000200c58afdbf140cdbba6606b127ce24a0e1bcec132f8b4c083970df9a36ac, Downloader, Win32, Firser, not-a-virus:Downloader.Win32.Firser.a, 2013
0004055d9030286af92eb22884b9814fbac833c2bb87143c79fc9045237c35bd, Worm, Win32, Fipp, Worm.Win32.Fipp.a, 2012
00059b0f303245d3c9589926d5c8e3d4ac187c05492ba921fbb96a3978409b74, Worm, Win32, AutoIt, Worm.Win32.AutoIt.xcl, 2011
000deeadde18e68b7b1b0bd7aa708a86a2d76018b4113cbf36e855bdd1952bd2, AdWare, Win32, InstallCore, HEUR:AdWare.Win32.InstallCore.gen, 2013
0007fd59611aa6efa24ba220c25be2174531f647aa0458649fa854592f6c121c, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019
0006d90ecde1ea829ffe23169aff5790243910d1b20b1e124db2c04fb1c2cc43, Email-Worm, Win32, Mydoom, Email-Worm.Win32.Mydoom.l, 2018
000508532d6d046fe4a0fb4848d78943621eedec4d848a1a105699c097367c5f, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019
0001c9ee9085548a2562a447b1320def3f3e1916484ca53131b294be1c6fdbd8, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2016
00031dd6b56cc02012103a6631d3e41de2c3341c856b2d1672af2a23238af885, Virus, Boot-DOS, Rainbow, Virus.Boot-DOS.Rainbow.2337, 2014
000a5fc5b8cef1f0811477bbb1874d601c660f342b7463e6ed5aa844b681fcd0, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2010
0004603261fe302eee5bf12559a3e3569ca6e5b3289acba5f66c1893a87647bf, AdWare, Win32, Linkun, VHO:AdWare.Win32.Linkun.gen, 2013
0000a28dbf6fad0a7b5e2728d52d5f10c882d9cc04650e441e145ca7ffa956b7, WebToolbar, Win32, Agent, not-a-virus:WebToolbar.Win32.Agent.id, 2018
00011ae7624523b8c34f4824b899e06a6a238e12cf99ce3e79040da900c7ac04, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019
000d797bc7c4658dde67ea840457b4433616617cdadf4e5302b258bd9135e25e, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2019
000fbb71f3ddc6d934b19e867fab1e9855127b4fa8554a01b8085cbb49e926af, Trojan, Win32, Fsysna, Trojan.Win32.Fsysna.akyk, 2018
000c26494e42c2c6d180bbb4e88a622e8cd010e7aac7709a3b56e9b16ec59ac6, Trojan, Win32, Starter, Trojan.Win32.Starter.yy, 2019
000220d2e00a3e9106c966a6a059248d8c838584a88f4416fd741a7e86ec9e54, AdWare, Win32, Morstar, HEUR:AdWare.Win32.Morstar.gen, 2015
0000ee693c066a99ddaff997717b0e57a9d397e907b561c8b646e904b4291671, Trojan, Win32, AntiFW, Trojan.Win32.AntiFW.b, 2017
000135c3454fd5ee401df0787591c6b67d8a77f4eaf9a2c5dce8090b5e0fd5af, Net-Worm, Win32, Kido, Net-Worm.Win32.Kido.ih, 2018
00077d3dff7025b6f3f0ffe83e3747758211fb337f31453810d1d4bcc699b231, Downloader, Win32, Morstar, not-a-virus:Downloader.Win32.Morstar.o, 2018
000e4eeaa9ea2a0f167f22f91bba64fce547fc2b1941e02d0cc54a27b10d1635, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2013
00009cc5192283cf364d919ba87c8b4efd03ed1ccf57bcb73be4d9f8e82e964c, Worm, Win32, AutoRun, Worm.Win32.AutoRun.but, 2018
000b30e4c8dae7d97b0fc324e0b12f743d5791c3844d8523a3c2ebb0b6722d0b, PSWTool, Win64, LSA, not-a-virus:PSWTool.Win64.LSA.b, 2012
000fd8e7a1e412e22bc1b4b66fd2c92b11d851d8085ee2c697a30c6f37809705, Hoax, Win32, ArchSMS, Hoax.Win32.ArchSMS.nxu, 2013
0007b93aa33c1ca71fb984f76e3ea563036485512ae513d4108178564f00a000, Downloader, Win32, DriverUpd, not-a-virus:Downloader.Win32.DriverUpd.hlh, 2014
000884e61c1a024113fe2a722d10936aa17a181234728a2bb7d36d5ae896680f, Virus, Win32, Downloader, Virus.Win32.Downloader.ba, 2018
0003d993f77530c465efcdb347bc8dd49c4479b6907754cf85f159ef1ba6f6a6, Trojan-PSW, MSIL, NetPass, Trojan-PSW.MSIL.NetPass.ad, 2019
00029b0a66c0c73b39095d6e3adb19299ee7d4bd05cb96c26738e0f855aa88cc, Trojan-GameThief, Win32, OnLineGames, Trojan-GameThief.Win32.OnLineGames.mnz, 2013
00089bb24f104fd4233ad6d844d46121a09a6f7aabb4e5d82629ab4b8149b588, Trojan-Downloader, Script, Generic, HEUR:Trojan-Downloader.Script.Generic, 2018
000587fab6bdd8c79a5ccc6a0d14a73e98846f49e5d4f482344a104d438e274c, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019
000b46208f591c22b5c869e695f5ee0ad13fc7958e1424905be51f1e859291d6, Hoax, Win32, FlashApp, HEUR:Hoax.Win32.FlashApp.a, 2011
000b7f7fe8d9216798b0a00fb6d13e43def4ed5285875317b26018cca0e1eab1, Backdoor, Win32, Shark, Backdoor.Win32.Shark.cdm, 2010
0001b9c1d8bacd7be40ceb43d46cc2e66e51faf7323bb7cbed508642137a00e9, Trojan-Proxy, Win32, Delf, Trojan-Proxy.Win32.Delf.an, 2013
000b30e4c8dae7d97b0fc324e0b12f743d5791c3844d8523a3c2ebb0b6722d0b, PSWTool, Win32, IEPassView, not-a-virus:PSWTool.Win32.IEPassView.cg, 2012
000e2a1303ad010617081c29b29a71349e8c340cabbae6867814883849ca2f04, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2015
0004107b2cff7b39bd566e1576f920d62a7ba59c6b3886974fed660524923fdd, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2014
000152c3f630459e35b96bb4d79006d88fc34b141415ab5a0f5e04d4b16b139c, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2017
000f7b66f0f9351b1cd0edde3804be4c02b26111dc3c3d2f98390b9264815f30, Trojan, Win32, Vilsel, Trojan.Win32.Vilsel.bpxe, 2013
000d29031b5a47df9c0a0e0cf2bfaf15f9f03e1ebad44fd22e9d3bf752751332, Trojan, JS, Iframe, Trojan.JS.Iframe.ajo, 2018
0004c8d162f4dc79b03a9749d22a578adb119b184d7902deab5cefde43a9c04e, Trojan-Downloader, Win32, Adload, HEUR:Trojan-Downloader.Win32.Adload.gen, 2014
0007194c643b43703b75f9bdc78ea35e2ab8ba87f0533553ad1b1a8c87925d17, Trojan-Ransom, Win32, Wanna, Trojan-Ransom.Win32.Wanna.m, 2019
00004bba400ec459e9575ef6ce335061502f60e5ca748d9c4d840aacaf0c2120, Trojan, BAT, Qhost, Trojan.BAT.Qhost.vk, 2013
000f28ff719ac80388d329440581fb26a40362d42e48cbd7129612a4d660b792, AdWare, MSIL, DomaIQ, not-a-virus:AdWare.MSIL.DomaIQ.cldu, 2019
000bb07dcdaf37ac94df60d03fb00076e482c0b1467f606fb3f1750bd7e15ca3, Trojan-Downloader, Script, Generic, HEUR:Trojan-Downloader.Script.Generic, 2010
000ab1670458e42a8ef0901c9118bc803a335414ec5481636bf977caec9ca74b, Trojan-Downloader, NSIS, Chindo, HEUR:Trojan-Downloader.NSIS.Chindo.gen, 2014
000779f7df3bd61553a3dcce9ec88f9606f73d22a3ec781a05d934e90daaa017, Trojan-PSW, Win32, QQPass, Trojan-PSW.Win32.QQPass.anbv, 2012
000a4fe5507d715f9af4cc4a666d61dba92dfcf69111a96f6cbf47ae777ecbf7, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2012
0009f1e6761bbb70a97b96ce628363fab81663c3b199d36169f5da438c9cfcc5, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2014
