dname,label
volnorez.com.ua,0
appleid-supporte.com,1
sarascottflorist.co.uk,0
llszw.saqibsiddiqui.com,1
lsdmlondon.com,0
pilarsanchez.com.co,1
lill.icu,1
kpli.courtindental.org,1
k2ktees.com,1
gilmar.es,0
cjoelyoung.com,1
mueeza.id,1
apps.adasasistemas.com,1
favo24.ru,1
mwwnotariusze.pl,0
emoryhillandalehospital.org,1
lschina.com.cn,0
mirchandakandcofirm.org,1
confirm-security-text-message.confirm-wf.info,1
zalgaqbghpplrcotaffuezujpw-dot-gleowayel400503.uc.r.appspot.com,1
isigraz.at,0
jpseek.com,0
mtcconsult.com,1
nohomers.net,0
bcpzonasegurabeta.viabcp.com.telescreditosbpc.com,1
myahang.com,0
diad.ge,1
rbcsecure.onlineservicesintl.com,1
assistekinformatica.com.br,1
rytutiy8it76ru5ey4w675e86r7.000webhostapp.com,1
asd.aarpeerubber.com,1
itunesforwindows.com,0
linkfellow.com,1
melbourneonlinestore.com.au,1
mazandressces.com,1
akfvtlucibieyshftkrbpljrer-dot-gleowayel400503.uc.r.appspot.com,1
jchen5072.000webhostapp.com,1
ndc-services.co.uk,1
kanoonnews.ir,0
retdecor.com.br,1
residencegridone.it,1
outofafrica.pro,1
mebels.kz,0
md-380.co.uk,1
rightcapital.com,0
kawalpilkadabot.getacipta.co.id,1
nomeco.dk,0
catevering.com,0
fashionincubator.com,0
saitek.com,0
shzrsy.net,1
theaylesbeareinn.co.uk,1
homeremodelingkc.com,0
essevetro.it,0
thepeoplesperson.com,0
basecampresto.co.id,1
fb.upgradebeta.com,1
info1t75522100000f.000webhostapp.com,1
barchi.ga,1
theelevationgroup.com,0
bae38fe813b565c470930a9f5880b83a-dot-dbenitonline.ey.r.appspot.com,1
bureshfuneralhomes.com,0
sparo.club,0
geekkeys.com,0
mediasl.com,0
elobservadordellitoral.com,0
fungist.net,1
annieimafidon.com,1
amalzon-com.unlocked-account-now.com,1
courtrightx.cf,1
enriquezservicios.com,0
magaldi.biz,1
antt.gov.br,0
sports4africa.com,0
grupofabiola.com,1
cuentas-seguraactividastr-informacionsvtftrs.com,1
html5doctor.com,0
www.remove-newpayee.co.uk,1
dhl.com.au,0
branda.com,0
pandlconstruction.co.uk,1
sboibc888.com,0
asihe.ac.ir,0
filmywap.in,0
belailha.com.br,0
cbacpartnership.org,1
casur.gov.co,0
lszconsulting.at,0
blehbgcvigbtpxvwfpboogvalu-dot-gleowayel400503.uc.r.appspot.com,1
jiab007.wordpress.com,0
inovasitehost.com.br,1
hawaaworld.com,0
www.nixtechnix.com,1
kluis-amsterdam.nl,1
gowu.xyz,0
chemistryteachingresources.com,0
huiskopen-vanelkaar.com,1
drgeittmannfoundation.info,1
amwfcouple.wordpress.com,0
safeness.xyz,0
customerarea-aruba.com,1
pujaporikrama.in,0
transitcenter.org,0
www.barloggio.net,1
chase-login-com6.xyz,1
geoffshannon.com.au,1
wholefamoies.com,1
minfogroup.ru,0
edcm1ebill.caroeirn.com,1
yostlawoffice.com,1
insidetime.org,0
baseindia.org,1
dailypostathenian.com,0
conduct.gr,1
herbadicas.com.br,1
ipfs.io,0
arjunainvestment.com,1
bcpzonasegura.viabup.com,1
meucurriculum.com,0
isbcoaching.com,1
adinarivers.com,0
celular-aplicativo.ml,1
mywinndixie.com,0
chhoatrithy.000webhostapp.com,1
